Detector;Time;qPKW;vPKW
298667O;720;50;40
298667O;780;53;40
298667O;840;52;40
298667O;900;57;40
298667O;960;63;40
298667O;1020;65;40
298667O;1080;59;40
298667O;1140;45;40
298667O;1200;36;40
298667O;1260;27;40
298667O;1320;18;40
298667O;1380;12;40
313950MI;0;30;40
313950MI;60;16;40
313950MI;120;10;40
313950MI;180;10;40
313950MI;240;12;40
313950MI;300;22;40
313950MI;360;66;40
313950MI;420;116;40
313950MI;480;176;40
313950MI;540;192;40
313950MI;600;198;40
313950MI;660;216;40
313950MI;720;239;40
313950MI;780;255;40
313950MI;840;247;40
313950MI;900;267;40
313950MI;960;299;40
313950MI;1020;296;40
313950MI;1080;268;40
313950MI;1140;197;40
313950MI;1200;149;40
313950MI;1260;113;40
313950MI;1320;75;40
313950MI;1380;50;40
313950MO;0;33;40
313950MO;60;17;40
313950MO;120;11;40
313950MO;180;15;40
313950MO;240;14;40
313950MO;300;29;40
313950MO;360;66;40
313950MO;420;129;40
313950MO;480;189;40
313950MO;540;184;40
313950MO;600;184;40
313950MO;660;199;40
313950MO;720;226;40
313950MO;780;242;40
313950MO;840;239;40
313950MO;900;260;40
313950MO;960;286;40
313950MO;1020;296;40
313950MO;1080;270;40
313950MO;1140;207;40
313950MO;1200;163;40
313950MO;1260;124;40
313950MO;1320;83;40
313950MO;1380;53;40
27442I;0;28;40
27442I;60;11;40
27442I;120;1;40
27442I;180;4;40
27442I;240;9;40
27442I;300;61;40
27442I;360;240;40
27442I;420;378;40
27442I;480;295;40
27442I;540;188;40
27442I;600;182;40
27442I;660;186;40
27442I;720;201;40
27442I;780;211;40
27442I;840;258;40
27442I;900;321;40
27442I;960;342;40
27442I;1020;346;40
27442I;1080;275;40
27442I;1140;191;40
27442I;1200;118;40
27442I;1260;106;40
27442I;1320;43;40
27442I;1380;27;40
27442O;0;32;40
27442O;60;12;40
27442O;120;1;40
27442O;180;6;40
27442O;240;11;40
27442O;300;81;40
27442O;360;243;40
27442O;420;420;40
27442O;480;318;40
27442O;540;181;40
27442O;600;168;40
27442O;660;171;40
27442O;720;190;40
27442O;780;200;40
27442O;840;250;40
27442O;900;313;40
27442O;960;328;40
27442O;1020;346;40
27442O;1080;276;40
27442O;1140;200;40
27442O;1200;128;40
27442O;1260;116;40
27442O;1320;48;40
27442O;1380;29;40
e1_10I;0;20;40
e1_10I;60;11;40
e1_10I;120;7;40
e1_10I;180;7;40
e1_10I;240;8;40
e1_10I;300;15;40
e1_10I;360;44;40
e1_10I;420;78;40
e1_10I;480;118;40
e1_10I;540;128;40
e1_10I;600;133;40
e1_10I;660;145;40
e1_10I;720;160;40
e1_10I;780;171;40
e1_10I;840;165;40
e1_10I;900;179;40
e1_10I;960;200;40
e1_10I;1020;199;40
e1_10I;1080;180;40
e1_10I;1140;132;40
e1_10I;1200;100;40
e1_10I;1260;75;40
e1_10I;1320;50;40
e1_10I;1380;33;40
e1_10O;0;22;40
e1_10O;60;11;40
e1_10O;120;7;40
e1_10O;180;10;40
e1_10O;240;9;40
e1_10O;300;20;40
e1_10O;360;45;40
e1_10O;420;86;40
e1_10O;480;127;40
e1_10O;540;123;40
e1_10O;600;123;40
e1_10O;660;134;40
e1_10O;720;152;40
e1_10O;780;162;40
e1_10O;840;160;40
e1_10O;900;174;40
e1_10O;960;192;40
e1_10O;1020;199;40
e1_10O;1080;181;40
e1_10O;1140;139;40
e1_10O;1200;109;40
e1_10O;1260;83;40
e1_10O;1320;56;40
e1_10O;1380;35;40
e1_8I;0;20;40
e1_8I;60;11;40
e1_8I;120;7;40
e1_8I;180;7;40
e1_8I;240;8;40
e1_8I;300;15;40
e1_8I;360;44;40
e1_8I;420;78;40
e1_8I;480;118;40
e1_8I;540;128;40
e1_8I;600;133;40
e1_8I;660;145;40
e1_8I;720;160;40
e1_8I;780;171;40
e1_8I;840;165;40
e1_8I;900;179;40
e1_8I;960;200;40
e1_8I;1020;199;40
e1_8I;1080;180;40
e1_8I;1140;132;40
e1_8I;1200;100;40
e1_8I;1260;75;40
e1_8I;1320;50;40
e1_8I;1380;33;40
e1_8O;0;22;40
e1_8O;60;11;40
e1_8O;120;7;40
e1_8O;180;10;40
e1_8O;240;9;40
e1_8O;300;20;40
e1_8O;360;45;40
e1_8O;420;86;40
e1_8O;480;127;40
e1_8O;540;123;40
e1_8O;600;123;40
e1_8O;660;134;40
e1_8O;720;152;40
e1_8O;780;162;40
e1_8O;840;160;40
e1_8O;900;174;40
e1_8O;960;192;40
e1_8O;1020;199;40
e1_8O;1080;181;40
e1_8O;1140;139;40
e1_8O;1200;109;40
e1_8O;1260;83;40
e1_8O;1320;56;40
e1_8O;1380;35;40
343115I;0;8;40
343115I;60;4;40
343115I;120;3;40
343115I;180;3;40
343115I;240;3;40
343115I;300;6;40
343115I;360;17;40
343115I;420;30;40
343115I;480;46;40
343115I;540;50;40
343115I;600;51;40
343115I;660;56;40
343115I;720;62;40
343115I;780;66;40
343115I;840;64;40
343115I;900;69;40
343115I;960;78;40
343115I;1020;77;40
343115I;1080;70;40
343115I;1140;51;40
343115I;1200;39;40
343115I;1260;29;40
343115I;1320;20;40
343115I;1380;13;40
343115O;0;9;40
343115O;60;4;40
343115O;120;3;40
343115O;180;4;40
343115O;240;4;40
343115O;300;8;40
343115O;360;17;40
343115O;420;33;40
343115O;480;49;40
343115O;540;48;40
343115O;600;48;40
343115O;660;52;40
343115O;720;59;40
343115O;780;63;40
343115O;840;62;40
343115O;900;67;40
343115O;960;74;40
343115O;1020;77;40
343115O;1080;70;40
343115O;1140;54;40
343115O;1200;42;40
343115O;1260;32;40
343115O;1320;22;40
343115O;1380;14;40
384798;0;10;40
384798;60;5;40
384798;120;4;40
384798;180;4;40
384798;240;4;40
384798;300;7;40
384798;360;20;40
384798;420;38;40
384798;480;56;40
384798;540;57;40
384798;600;58;40
384798;660;63;40
384798;720;70;40
384798;780;76;40
384798;840;74;40
384798;900;80;40
384798;960;89;40
384798;1020;90;40
384798;1080;82;40
384798;1140;61;40
384798;1200;48;40
384798;1260;36;40
384798;1320;24;40
384798;1380;16;40
e1_3I;0;15;40
e1_3I;60;8;40
e1_3I;120;5;40
e1_3I;180;5;40
e1_3I;240;6;40
e1_3I;300;12;40
e1_3I;360;32;40
e1_3I;420;59;40
e1_3I;480;87;40
e1_3I;540;90;40
e1_3I;600;92;40
e1_3I;660;100;40
e1_3I;720;111;40
e1_3I;780;119;40
e1_3I;840;116;40
e1_3I;900;126;40
e1_3I;960;141;40
e1_3I;1020;142;40
e1_3I;1080;129;40
e1_3I;1140;97;40
e1_3I;1200;75;40
e1_3I;1260;57;40
e1_3I;1320;38;40
e1_3I;1380;25;40
27456;0;21;40
27456;60;13;40
27456;120;9;40
27456;180;13;40
27456;240;21;40
27456;300;60;40
27456;360;135;40
27456;420;169;40
27456;480;151;40
27456;540;153;40
27456;600;172;40
27456;660;176;40
27456;720;212;40
27456;780;210;40
27456;840;201;40
27456;900;222;40
27456;960;284;40
27456;1020;267;40
27456;1080;186;40
27456;1140;174;40
27456;1200;153;40
27456;1260;101;40
27456;1320;76;40
27456;1380;41;40
e1_12I;0;22;40
e1_12I;60;12;40
e1_12I;120;8;40
e1_12I;180;8;40
e1_12I;240;9;40
e1_12I;300;17;40
e1_12I;360;49;40
e1_12I;420;86;40
e1_12I;480;131;40
e1_12I;540;143;40
e1_12I;600;148;40
e1_12I;660;161;40
e1_12I;720;178;40
e1_12I;780;190;40
e1_12I;840;184;40
e1_12I;900;199;40
e1_12I;960;222;40
e1_12I;1020;221;40
e1_12I;1080;200;40
e1_12I;1140;147;40
e1_12I;1200;111;40
e1_12I;1260;84;40
e1_12I;1320;56;40
e1_12I;1380;37;40
e1_12O;0;25;40
e1_12O;60;12;40
e1_12O;120;8;40
e1_12O;180;11;40
e1_12O;240;10;40
e1_12O;300;22;40
e1_12O;360;50;40
e1_12O;420;96;40
e1_12O;480;141;40
e1_12O;540;137;40
e1_12O;600;137;40
e1_12O;660;149;40
e1_12O;720;169;40
e1_12O;780;181;40
e1_12O;840;178;40
e1_12O;900;194;40
e1_12O;960;213;40
e1_12O;1020;221;40
e1_12O;1080;201;40
e1_12O;1140;154;40
e1_12O;1200;121;40
e1_12O;1260;92;40
e1_12O;1320;62;40
e1_12O;1380;39;40
255368I;0;12;40
255368I;60;7;40
255368I;120;4;40
255368I;180;4;40
255368I;240;5;40
255368I;300;9;40
255368I;360;27;40
255368I;420;48;40
255368I;480;73;40
255368I;540;80;40
255368I;600;83;40
255368I;660;90;40
255368I;720;100;40
255368I;780;106;40
255368I;840;103;40
255368I;900;111;40
255368I;960;124;40
255368I;1020;124;40
255368I;1080;112;40
255368I;1140;82;40
255368I;1200;62;40
255368I;1260;47;40
255368I;1320;31;40
255368I;1380;21;40
255368O;0;14;40
255368O;60;7;40
255368O;120;5;40
255368O;180;6;40
255368O;240;6;40
255368O;300;12;40
255368O;360;28;40
255368O;420;54;40
255368O;480;79;40
255368O;540;77;40
255368O;600;77;40
255368O;660;83;40
255368O;720;94;40
255368O;780;101;40
255368O;840;100;40
255368O;900;108;40
255368O;960;119;40
255368O;1020;124;40
255368O;1080;112;40
255368O;1140;86;40
255368O;1200;68;40
255368O;1260;52;40
255368O;1320;35;40
255368O;1380;22;40
269038;0;34;40
269038;60;18;40
269038;120;12;40
269038;180;14;40
269038;240;13;40
269038;300;28;40
269038;360;73;40
269038;420;135;40
269038;480;201;40
269038;540;208;40
269038;600;211;40
269038;660;229;40
269038;720;257;40
269038;780;275;40
269038;840;268;40
269038;900;290;40
269038;960;323;40
269038;1020;328;40
269038;1080;297;40
269038;1140;223;40
269038;1200;172;40
269038;1260;130;40
269038;1320;88;40
269038;1380;57;40
e1_14O;0;17;40
e1_14O;60;8;40
e1_14O;120;6;40
e1_14O;180;7;40
e1_14O;240;7;40
e1_14O;300;14;40
e1_14O;360;36;40
e1_14O;420;66;40
e1_14O;480;99;40
e1_14O;540;102;40
e1_14O;600;103;40
e1_14O;660;112;40
e1_14O;720;125;40
e1_14O;780;134;40
e1_14O;840;132;40
e1_14O;900;142;40
e1_14O;960;158;40
e1_14O;1020;160;40
e1_14O;1080;145;40
e1_14O;1140;109;40
e1_14O;1200;84;40
e1_14O;1260;63;40
e1_14O;1320;42;40
e1_14O;1380;27;40
276410;0;17;40
276410;60;10;40
276410;120;6;40
276410;180;7;40
276410;240;7;40
276410;300;14;40
276410;360;38;40
276410;420;70;40
276410;480;104;40
276410;540;108;40
276410;600;110;40
276410;660;119;40
276410;720;133;40
276410;780;142;40
276410;840;139;40
276410;900;150;40
276410;960;167;40
276410;1020;170;40
276410;1080;154;40
276410;1140;115;40
276410;1200;90;40
276410;1260;67;40
276410;1320;45;40
276410;1380;29;40
e1_15O;0;27;40
e1_15O;60;14;40
e1_15O;120;9;40
e1_15O;180;10;40
e1_15O;240;11;40
e1_15O;300;23;40
e1_15O;360;57;40
e1_15O;420;106;40
e1_15O;480;158;40
e1_15O;540;163;40
e1_15O;600;166;40
e1_15O;660;179;40
e1_15O;720;201;40
e1_15O;780;215;40
e1_15O;840;210;40
e1_15O;900;227;40
e1_15O;960;253;40
e1_15O;1020;256;40
e1_15O;1080;233;40
e1_15O;1140;175;40
e1_15O;1200;135;40
e1_15O;1260;103;40
e1_15O;1320;69;40
e1_15O;1380;45;40
320842I;0;18;40
320842I;60;10;40
320842I;120;6;40
320842I;180;6;40
320842I;240;7;40
320842I;300;14;40
320842I;360;40;40
320842I;420;71;40
320842I;480;108;40
320842I;540;118;40
320842I;600;122;40
320842I;660;133;40
320842I;720;147;40
320842I;780;157;40
320842I;840;152;40
320842I;900;164;40
320842I;960;184;40
320842I;1020;182;40
320842I;1080;165;40
320842I;1140;121;40
320842I;1200;92;40
320842I;1260;69;40
320842I;1320;46;40
320842I;1380;31;40
320842O;0;20;40
320842O;60;10;40
320842O;120;7;40
320842O;180;9;40
320842O;240;8;40
320842O;300;18;40
320842O;360;41;40
320842O;420;79;40
320842O;480;116;40
320842O;540;113;40
320842O;600;113;40
320842O;660;123;40
320842O;720;139;40
320842O;780;149;40
320842O;840;147;40
320842O;900;160;40
320842O;960;176;40
320842O;1020;182;40
320842O;1080;166;40
320842O;1140;127;40
320842O;1200;100;40
320842O;1260;76;40
320842O;1320;51;40
320842O;1380;32;40
e1_16I;0;12;40
e1_16I;60;7;40
e1_16I;120;4;40
e1_16I;180;4;40
e1_16I;240;5;40
e1_16I;300;9;40
e1_16I;360;27;40
e1_16I;420;48;40
e1_16I;480;72;40
e1_16I;540;79;40
e1_16I;600;81;40
e1_16I;660;89;40
e1_16I;720;98;40
e1_16I;780;105;40
e1_16I;840;101;40
e1_16I;900;110;40
e1_16I;960;123;40
e1_16I;1020;122;40
e1_16I;1080;110;40
e1_16I;1140;81;40
e1_16I;1200;61;40
e1_16I;1260;46;40
e1_16I;1320;31;40
e1_16I;1380;21;40
e1_16O;0;14;40
e1_16O;60;7;40
e1_16O;120;4;40
e1_16O;180;6;40
e1_16O;240;6;40
e1_16O;300;12;40
e1_16O;360;27;40
e1_16O;420;53;40
e1_16O;480;78;40
e1_16O;540;76;40
e1_16O;600;76;40
e1_16O;660;82;40
e1_16O;720;93;40
e1_16O;780;100;40
e1_16O;840;98;40
e1_16O;900;107;40
e1_16O;960;118;40
e1_16O;1020;122;40
e1_16O;1080;111;40
e1_16O;1140;85;40
e1_16O;1200;67;40
e1_16O;1260;51;40
